"nama","harga","ranting","fasilitas"
"Kost Rumah Sumaira Tugu Tipe A Cimanggis Depok","Rp1.050.000","4.4","Harga termasuk listrik (sewa harian) ·Maksimal 2 orang (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Va Tipe A1 Jagakarsa Jakarta Selatan","Rp700.000","","WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Omah Amalia Beji Depok","Rp1.400.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Wisma Okki Tipe B Beji Depok","Rp1.008.000","","K. Mandi Dalam ·WiFi ·Kasur"
"Kost Singgahsini Alhidayah EMH-4 Tipe B  Beji Depok","Rp1.249.500","5.0","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik UI Tidar Tipe A Beji Depok","Rp670.500","","K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam"
"Kost Apik UI Arya Tipe A Kukusan Beji Depok","Rp1.233.000","4.3","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Homey Beji Tipe B UI Depok","Rp1.008.000","5.0","WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Singgahsini PIM Margonda Raya Beji Depok","Rp1.548.000","4.6","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Salak 5 Margonda Tipe A Beji Depok","Rp1.278.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Salak 5 Margonda Tipe B Beji Depok","Rp828.000","","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Apik Dedet 20 Tipe A Beji Depok","Rp832.500","","WiFi ·Kloset Duduk ·Kasur"
"Kost Apik Griya Osfa UI Tipe A Beji Depok","Rp1.368.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Duta Margonda Tipe B Beji Depok","Rp2.357.100","","K. Mandi Dalam ·AC ·Kloset Duduk ·Kasur"
"Kost Apik UI Puspita  Tipe A Kukusan Beji Depok","Rp1.470.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Singgahsini Alhidayah EMH-4 Tipe A  Beji Depok","Rp1.870.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik UI Puspita  Tipe B Kukusan Beji Depok","Rp1.370.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Griya Sentosa Tugu Indah Tipe B Cimanggis Depok","Rp895.000","4.8","K. Mandi Dalam ·Kloset Duduk ·Kasur"
"Kost Apik Duta Margonda Tipe A Beji Depok","Rp1.296.000","4.4","K. Mandi Dalam ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Pondok 21 Tipe B Beji Depok","Rp1.720.000","4.2","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Pondok 21 Tipe D Beji Depok","Rp1.620.000","","WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Pondok 21 Tipe C Beji Depok","Rp3.035.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Homey Beji Tipe A UI Depok","Rp1.143.000","4.8","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Homey Beji Tipe A UI Depok","Rp1.143.000","4.8","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Pondok 21 Tipe E Beji Depok","Rp2.200.000","","Check-in pukul 14:00-21:00 (sewa harian) ·Check-out maks. pukul 12:00 (sewa harian) ·Harga termasuk listrik (sewa harian) ·Pasutri wajib membawa surat nikah (sewa harian) ·Tanpa deposit (sewa harian) ·Tidak bisa DP (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Pondok 21 Tipe A Single AC Beji Depok","Rp1.700.000","","Check-in pukul 14:00-21:00 (sewa harian) ·Check-out maks. pukul 12:00 (sewa harian) ·Harga termasuk listrik (sewa harian) ·Tanpa deposit (sewa harian) ·Tidak bisa DP (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Pondok 21 Tipe Single Room AC Beji Depok","Rp1.600.000","","Check-in pukul 14:00-21:00 (sewa harian) ·Check-out maks. pukul 12:00 (sewa harian) ·Harga termasuk listrik (sewa harian) ·Tanpa deposit (sewa harian) ·Tidak bisa DP (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Pondok 21 Tipe Double Bed Beji Depok","Rp2.600.000","","Check-in pukul 14:00-21:00 (sewa harian) ·Check-out maks. pukul 12:00 (sewa harian) ·Harga termasuk listrik (sewa harian) ·Pasutri wajib membawa surat nikah (sewa harian) ·Tanpa deposit (sewa harian) ·Tidak bisa DP (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Libra Tipe B Beji Depok","Rp2.000.000","4.4","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Muslimah Parkit 24 Beji Depok","Rp1.500.000","5.0","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Muslimah Fadilah Beji Depok","Rp800.000","","K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam"
"Kost Mawar 29 Tipe B Beji Depok","Rp700.000","","K. Mandi Dalam ·WiFi ·Kasur"
"Kost Wisma 9999 Tipe B  Beji Depok","Rp1.250.000","","K. Mandi Dalam ·WiFi ·AC ·Kasur ·Akses 24 Jam"
